time_us,aligned_input_v,captured_output_v
9.960800000000000409e+01,-1.180575862914905183e-01,-1.176760000000000028e-01
9.961599999999999966e+01,-1.120316898812504652e-01,-1.114499999999999935e-01
9.962399999999999523e+01,-1.058435435816448139e-01,-1.063230000000000008e-01
9.963199999999999079e+01,-9.950181004425917575e-02,-9.985399999999999832e-02
9.964000000000000057e+01,-9.301543080808973019e-02,-9.289600000000000635e-02
9.964800000000001035e+01,-8.639361007511418833e-02,-8.654799999999999993e-02
9.965599999999999170e+01,-7.964579800670268384e-02,-7.971200000000000507e-02
9.966400000000000148e+01,-7.278167357099660228e-02,-7.251000000000000500e-02
9.967199999999999704e+01,-6.581112697275337542e-02,-6.579599999999999338e-02
9.967999999999999261e+01,-5.874424169770575688e-02,-5.895999999999999852e-02
9.968800000000000239e+01,-5.159127620418211407e-02,-5.127000000000000307e-02
9.969599999999999795e+01,-4.436264529536938089e-02,-4.406700000000000200e-02
9.970400000000000773e+01,-3.706890120620522089e-02,-3.625500000000000250e-02
9.971200000000000330e+01,-2.972071443953571562e-02,-2.856399999999999911e-02
9.971999999999999886e+01,-2.232885438641198095e-02,-2.160600000000000021e-02
9.972800000000000864e+01,-1.490416976588550789e-02,-1.379400000000000071e-02
9.973599999999999000e+01,-7.457568919979033414e-03,-6.104000000000000051e-03
9.974399999999999977e+01,-2.639991869805204001e-15,3.660000000000000059e-04
9.975200000000000955e+01,7.457568919973756386e-03,6.836000000000000063e-03
9.975999999999999091e+01,1.490416976588024127e-02,1.660199999999999870e-02
9.976800000000000068e+01,2.232885438642251766e-02,2.160600000000000021e-02
9.977599999999999625e+01,2.972071443953049411e-02,3.051799999999999999e-02
9.978400000000000603e+01,3.706890120620352086e-02,3.857399999999999718e-02
9.979200000000000159e+01,4.436264529536422530e-02,4.443400000000000127e-02
9.979999999999999716e+01,5.159127620419221710e-02,5.249000000000000193e-02
9.980800000000000693e+01,5.874424169770070536e-02,5.737300000000000039e-02
9.981599999999998829e+01,6.581112697274836554e-02,6.506299999999999584e-02
9.982399999999999807e+01,7.278167357099166179e-02,7.275399999999999923e-02
9.983200000000000784e+01,7.964579800669782661e-02,8.007799999999999641e-02
9.984000000000000341e+01,8.639361007511286994e-02,8.618199999999999472e-02
9.984799999999999898e+01,9.301543080808502562e-02,9.326199999999999768e-02
9.985599999999999454e+01,9.950181004426771059e-02,1.004639999999999977e-01
9.986400000000000432e+01,1.058435435816403036e-01,1.049800000000000039e-01
9.987199999999999989e+01,1.120316898812460799e-01,1.119379999999999958e-01
9.987999999999999545e+01,1.180575862914981095e-01,1.192629999999999940e-01
9.988800000000000523e+01,1.239128647634735181e-01,1.236570000000000030e-01
9.989599999999998658e+01,1.295894670287062733e-01,1.292719999999999980e-01
9.990399999999999636e+01,1.350796592114291428e-01,1.359859999999999958e-01
9.991200000000000614e+01,1.403760458489989593e-01,1.400150000000000006e-01
9.992000000000000171e+01,1.454715832945056297e-01,1.442869999999999986e-01
9.992799999999999727e+01,1.503595924775132375e-01,1.511230000000000073e-01
9.993600000000000705e+01,1.550337709992976598e-01,1.550290000000000001e-01
9.994400000000000261e+01,1.594882045407276794e-01,1.583249999999999935e-01
9.995199999999999818e+01,1.637173775619149008e-01,1.635739999999999972e-01
9.995999999999999375e+01,1.677161832740613756e-01,1.669920000000000015e-01
9.996800000000000352e+01,1.714799328653098809e-01,1.707760000000000111e-01
9.997600000000001330e+01,1.750043639638892978e-01,1.748049999999999882e-01
9.998399999999999466e+01,1.782856483229032507e-01,1.768800000000000094e-01
9.999200000000000443e+01,1.813203987129356209e-01,1.809080000000000132e-01
1.000000000000000000e+02,1.841056750097610495e-01,1.816409999999999969e-01
1.000079999999999956e+02,1.866389894661142079e-01,1.865229999999999944e-01
1.000160000000000053e+02,1.889183111578944807e-01,1.875000000000000000e-01
