time_us,captured_v
4.195199999999999818e+01,-2.439999999999999949e-04
4.196000000000000085e+01,-7.006800000000000528e-02
4.196800000000000352e+01,-7.983400000000000218e-02
4.197599999999999909e+01,-2.502400000000000110e-02
4.198400000000000176e+01,-4.553200000000000303e-02
4.199199999999999733e+01,-7.287599999999999634e-02
4.200000000000000000e+01,-7.312000000000000444e-02
4.200800000000000267e+01,-1.340330000000000132e-01
4.201599999999999824e+01,-1.447749999999999870e-01
4.202400000000000091e+01,-1.204830000000000068e-01
4.203200000000000358e+01,-8.166500000000000148e-02
4.203999999999999915e+01,-2.539100000000000038e-02
4.204800000000000182e+01,-1.032710000000000017e-01
4.205599999999999739e+01,-1.367190000000000072e-01
4.206400000000000006e+01,-8.032200000000000450e-02
4.207200000000000273e+01,-3.662100000000000077e-02
4.207999999999999829e+01,-1.782200000000000104e-02
4.208800000000000097e+01,-2.819800000000000084e-02
4.209599999999999653e+01,2.453599999999999878e-02
4.210399999999999920e+01,3.173800000000000232e-02
4.211200000000000188e+01,4.345700000000000257e-02
4.212000000000000455e+01,8.251999999999999613e-02
4.212800000000000011e+01,8.679199999999999415e-02
4.213599999999999568e+01,8.056599999999999873e-02
4.214399999999999835e+01,4.724099999999999827e-02
4.215200000000000102e+01,9.887700000000000655e-02
4.216000000000000369e+01,1.064449999999999980e-01
4.216799999999999926e+01,5.358899999999999775e-02
4.217599999999999483e+01,3.051799999999999999e-02
4.218400000000000460e+01,-3.649899999999999672e-02
4.219200000000000017e+01,3.540000000000000091e-02
4.220000000000000284e+01,8.557099999999999429e-02
4.220799999999999841e+01,2.282700000000000007e-02
4.221599999999999397e+01,2.954100000000000129e-02
4.222400000000000375e+01,2.551300000000000096e-02
4.223199999999999932e+01,3.808600000000000180e-02
4.224000000000000199e+01,1.745599999999999929e-02
4.224799999999999756e+01,3.088400000000000173e-02
4.225600000000000023e+01,7.263200000000000212e-02
4.226400000000000290e+01,-4.150000000000000043e-03
4.227199999999999847e+01,-3.833000000000000296e-02
4.228000000000000114e+01,-3.027300000000000130e-02
4.228799999999999670e+01,-4.846199999999999813e-02
4.229600000000000648e+01,-1.156009999999999954e-01
4.230400000000000205e+01,-1.586909999999999987e-01
4.231199999999999761e+01,-1.215819999999999956e-01
4.232000000000000028e+01,-1.285399999999999876e-01
4.232799999999999585e+01,-1.092530000000000029e-01
4.233600000000000563e+01,-1.091310000000000058e-01
4.234400000000000119e+01,-9.912100000000000077e-02
4.235199999999999676e+01,-5.786100000000000271e-02
4.235999999999999943e+01,-4.357899999999999968e-02
4.236799999999999500e+01,2.539100000000000038e-02
4.237600000000000477e+01,3.857399999999999718e-02
4.238400000000000034e+01,1.635700000000000001e-02
4.239199999999999591e+01,1.879899999999999974e-02
4.239999999999999858e+01,2.978499999999999898e-02
4.240800000000000125e+01,6.897000000000000353e-02
4.241600000000000392e+01,7.031199999999999950e-02
4.242399999999999949e+01,9.985399999999999832e-02
4.243200000000000216e+01,1.138919999999999932e-01
4.243999999999999773e+01,1.116940000000000016e-01
4.244800000000000040e+01,1.705319999999999891e-01
4.245600000000000307e+01,2.270510000000000028e-01
4.246399999999999864e+01,2.353520000000000056e-01
4.247200000000000131e+01,1.854250000000000065e-01
4.247999999999999687e+01,1.479489999999999972e-01
4.248799999999999955e+01,8.618199999999999472e-02
4.249600000000000222e+01,4.980500000000000205e-02
4.250399999999999778e+01,5.810499999999999693e-02
4.251200000000000045e+01,-3.356900000000000162e-02
4.251999999999999602e+01,-9.619099999999999873e-02
4.252799999999999869e+01,-1.419680000000000109e-01
4.253600000000000136e+01,-1.785889999999999977e-01
4.254399999999999693e+01,-1.018069999999999947e-01
4.255199999999999960e+01,-5.517600000000000282e-02
4.256000000000000227e+01,-2.856399999999999911e-02
4.256800000000000495e+01,-4.577599999999999725e-02
4.257600000000000051e+01,-4.309099999999999736e-02
4.258399999999999608e+01,-1.269499999999999969e-02
4.259199999999999875e+01,-3.540000000000000178e-03
4.260000000000000142e+01,6.738299999999999845e-02
4.260800000000000409e+01,8.361799999999999788e-02
4.261599999999999966e+01,2.417000000000000051e-02
4.262399999999999523e+01,2.441000000000000027e-03
4.263199999999999790e+01,1.684599999999999986e-02
4.264000000000000057e+01,5.956999999999999795e-02
4.264800000000000324e+01,5.188000000000000250e-02
4.265599999999999881e+01,7.080100000000000282e-02
4.266399999999999437e+01,1.252439999999999942e-01
4.267200000000000415e+01,7.385300000000000198e-02
4.267999999999999972e+01,5.847200000000000314e-02
4.268800000000000239e+01,3.466799999999999743e-02
4.269599999999999795e+01,9.766000000000000375e-03
4.270400000000000063e+01,4.858400000000000218e-02
4.271200000000000330e+01,1.586900000000000116e-02
4.271999999999999886e+01,-1.367200000000000013e-02
4.272800000000000153e+01,2.439999999999999949e-04
4.273599999999999710e+01,-2.905299999999999896e-02
4.274399999999999977e+01,-5.517600000000000282e-02
4.275200000000000244e+01,-5.078099999999999975e-02
4.275999999999999801e+01,8.911000000000000518e-03
4.276800000000000068e+01,5.847200000000000314e-02
4.277599999999999625e+01,4.260300000000000198e-02
4.278399999999999892e+01,2.087400000000000019e-02
4.279200000000000159e+01,-1.464799999999999956e-02
4.279999999999999716e+01,-2.136199999999999904e-02
